canonical_name,serving_g,kcal,protein_g,fat_g,carb_g,fiber_g,source,source_id,confidence,usda_description
85%+ dark chocolate,100,598.0,7.79,42.63,45.90,10.90,USDA_SR,170273,103.1,"Chocolate, dark, 70-85% cacao solids"
aged cheeses,100,392.0,35.75,25.00,3.22,0.00,USDA_SR,170848,103.8,"Cheese, parmesan, hard"
alcohol,100,237.0,0.05,0.00,2.41,0.00,USDA_SR,172235,103.6,"Vanilla extract, imitation, alcohol"
all leafy greens,100,33.0,1.98,0.41,6.98,3.40,USDA_SR,169964,69.8,"Beans, snap, green, frozen, all styles, microwaved"
almonds,100,579.0,21.15,49.93,21.55,12.50,USDA_SR,170567,104.2,"Nuts, almonds"
any refined seed oils,100,592.0,20.06,51.30,22.89,10.60,USDA_SR,168593,77.8,"Seeds, sunflower seed kernels, oil roasted, with salt added"
apple cider vinegar,100,21.0,0.00,0.00,0.93,0.00,USDA_SR,173469,70.8,"Vinegar, cider"
artificial sweeteners (sucralose/aspartame/acesulfame-k),100,365.0,2.17,0.00,89.08,0.00,USDA_SR,169657,43.3,"Sweeteners, tabletop, aspartame, EQUAL, packets"
ashwagandha powder,100,250.0,3.69,0.47,79.65,44.50,USDA_SR,167806,54.2,Baobab powder
asparagus,100,20.0,2.20,0.12,3.88,2.10,USDA_SR,168389,104.5,"Asparagus, raw"
aubergine/eggplant,100,25.0,0.98,0.18,5.88,3.00,USDA_SR,169228,54.5,"Eggplant, raw"
avocado,100,167.0,1.96,15.41,8.64,6.80,USDA_SR,171706,104.2,"Avocados, raw, California"
avocado oil,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,173573,104.2,"Oil, avocado"
babaganoush (fresh local),100,25.0,0.98,0.18,5.88,3.00,USDA_SR,169228,54.5,"Eggplant, raw"
bananas,100,346.0,3.89,1.81,88.28,9.90,USDA_SR,173945,203.6,"Bananas, dehydrated, or banana powder"
basa fish,100,277.0,11.01,16.23,21.66,1.50,USDA_SR,174195,103.6,"Fish, fish sticks, frozen, prepared"
beef (lean cuts),100,195.0,20.56,11.92,0.00,0.00,USDA_SR,168694,102.4,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
beetroot,100,43.0,1.61,0.17,9.56,2.80,USDA_SR,169145,104.5,"Beets, raw"
berries,100,349.0,14.26,0.39,77.06,13.00,USDA_SR,173032,103.8,"Goji berries, dried"
bitter gourd/karela,100,17.0,1.00,0.17,3.70,2.80,USDA_SR,168393,70.0,"Balsam-pear (bitter gourd), pods, raw"
black beans,100,91.0,4.83,1.32,15.42,6.80,USDA_SR,171141,103.6,"Soup, black bean, canned, condensed"
black coffee,100,251.0,10.39,3.26,63.95,25.30,USDA_SR,170931,53.8,"Spices, pepper, black"
black pepper,100,251.0,10.39,3.26,63.95,25.30,USDA_SR,170931,103.8,"Spices, pepper, black"
black soybeans,100,628.0,0.26,70.22,1.53,,USDA_SR,173588,102.2,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick"
blackberries,100,43.0,1.39,0.49,9.61,5.30,USDA_SR,173946,104.5,"Blackberries, raw"
blueberries,100,57.0,0.74,0.33,14.49,2.40,USDA_SR,171711,104.5,"Blueberries, raw"
brazil nuts,100,553.0,18.22,43.85,30.19,3.30,USDA_SR,170162,103.8,"Nuts, cashew nuts, raw"
brie and camembert,100,334.0,20.75,27.68,0.45,0.00,USDA_SR,172177,54.2,"Cheese, brie"
broccoli,100,34.0,2.82,0.37,6.64,2.60,USDA_SR,170379,104.5,"Broccoli, raw"
buckwheat,100,343.0,13.25,3.40,71.50,10.00,USDA_SR,170286,104.5,Buckwheat
buffalo milk kefir,100,97.0,3.75,6.89,5.18,0.00,USDA_SR,171280,70.2,"Milk, indian buffalo, fluid"
buffalo milk yoghurt,100,97.0,3.75,6.89,5.18,0.00,USDA_SR,171280,70.2,"Milk, indian buffalo, fluid"
buffalo/buff meat,100,99.0,20.39,1.37,0.00,0.00,USDA_SR,175299,70.2,"Game meat, buffalo, water, raw"
butter,100,900.0,0.00,100.00,0.00,0.00,USDA_SR,171314,203.6,"Butter, Clarified butter (ghee)"
butter (local),100,900.0,0.00,100.00,0.00,0.00,USDA_SR,171314,103.6,"Butter, Clarified butter (ghee)"
cabbage,100,25.0,1.28,0.10,5.80,2.50,USDA_SR,169975,104.5,"Cabbage, raw"
canola oil,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,172360,152.5,"Oil, industrial, canola (partially hydrogenated) oil for deep fat frying"
capsicum,100,27.0,1.00,0.21,6.32,0.90,USDA_SR,169383,103.8,"Peppers, sweet, yellow, raw"
carrots,100,41.0,0.93,0.24,9.58,2.80,USDA_SR,170393,104.5,"Carrots, raw"
cauliflower,100,25.0,1.92,0.28,4.97,2.00,USDA_SR,169986,104.5,"Cauliflower, raw"
chard,100,19.0,1.80,0.20,3.74,1.60,USDA_SR,169991,104.2,"Chard, swiss, raw"
chia seeds,100,486.0,16.54,30.74,42.12,34.40,USDA_SR,170554,153.6,"Seeds, chia seeds, dried"
chicken and poultry,100,224.0,23.64,12.73,3.64,3.60,USDA_SR,169886,54.2,"Chicken, meatless"
chickpeas,100,387.0,22.39,6.69,57.82,10.80,USDA_SR,174288,103.8,Chickpea flour (besan)
clean bratwurst,100,333.0,13.72,29.18,2.85,0.00,USDA_SR,171620,54.2,"Bratwurst, pork, cooked"
clean natural sausage,100,309.0,11.98,28.23,0.94,0.00,USDA_SR,174584,70.0,"Sausage, smoked link sausage, pork"
coconut oil,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,173595,152.4,"Oil, industrial, coconut, principal uses candy coatings, oil sprays, roasting nuts"
coconut unsweetened,100,19.0,0.72,0.20,3.71,1.10,USDA_SR,170174,103.1,"Nuts, coconut water (liquid from coconuts)"
coconut water,100,19.0,0.72,0.20,3.71,1.10,USDA_SR,170174,153.1,"Nuts, coconut water (liquid from coconuts)"
coffee with small dash of cream,100,195.0,2.96,19.10,3.66,0.00,USDA_SR,170857,102.9,"Cream, fluid, light (coffee cream or table cream)"
commercial cow milk as primary drink,100,101.0,4.22,1.69,17.30,1.30,USDA_SR,171873,52.5,"Beverages, chocolate drink, milk and soy based, ready to drink, fortified"
commercial sauces,100,237.0,7.78,17.82,15.00,5.50,USDA_SR,174289,54.2,"Hummus, commercial"
commercial sauces with sugar or starch,100,531.0,3.57,28.57,66.26,14.30,USDA_SR,174970,52.9,"Cookies, sugar wafer, with creme filling, sugar free"
commercial sports drinks,100,138.0,5.38,5.38,17.29,1.20,USDA_SR,173169,69.3,"Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink"
condensed or evaporated milk,100,321.0,7.91,8.70,54.40,0.00,USDA_SR,171275,70.5,"Milk, canned, condensed, sweetened"
corn,100,77.0,2.64,0.54,17.61,3.00,USDA_SR,168478,203.1,"Succotash, (corn and limas), canned, with cream style corn"
corn products,100,77.0,2.64,0.54,17.61,3.00,USDA_SR,168478,103.1,"Succotash, (corn and limas), canned, with cream style corn"
cream cheese,100,295.0,7.10,28.60,3.50,0.00,USDA_SR,169081,153.3,"Cheese spread, cream cheese base"
cucumber,100,15.0,0.65,0.11,3.63,0.50,USDA_SR,168409,104.2,"Cucumber, with peel, raw"
doenjang (fermented korean soybean paste),100,628.0,0.26,70.22,1.53,,USDA_SR,173588,42.2,"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick"
edamame,100,109.0,11.22,4.73,7.61,4.80,USDA_SR,168410,104.2,"Edamame, frozen, unprepared"
eggs,100,143.0,12.56,9.51,0.72,0.00,USDA_SR,171287,104.2,"Egg, whole, raw, fresh"
fennel,100,31.0,1.24,0.20,7.30,3.10,USDA_SR,169385,104.2,"Fennel, bulb, raw"
flavored yoghurts with added sugar,100,265.0,5.33,9.33,40.01,9.30,USDA_SR,170911,77.4,"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce"
flaxseeds and flaxseed meal,100,878.0,0.37,99.01,0.39,,USDA_SR,171442,103.1,"Oil, flaxseed, contains added sliced flaxseed"
fresh garlic,100,149.0,6.36,0.50,33.06,2.10,USDA_SR,169230,104.5,"Garlic, raw"
fresh ginger,100,80.0,1.82,0.75,17.77,2.00,USDA_SR,169231,104.2,"Ginger root, raw"
fresh lemon juice,100,17.0,0.47,0.07,5.66,0.70,USDA_SR,167802,152.9,"Lemon juice from concentrate, bottled, REAL LEMON"
fresh unfermented cow milk cheese,100,299.0,22.17,22.14,2.40,0.00,USDA_SR,170845,53.6,"Cheese, mozzarella, whole milk"
fruit juice,100,54.0,0.13,0.00,13.16,0.10,USDA_SR,171945,202.3,"Beverages, fruit juice drink, greater than 3% fruit juice, high vitamin C and added thiamin"
full fat buffalo milk yoghurt,100,167.0,4.30,1.00,37.70,0.00,USDA_SR,167686,63.1,"Milk dessert, frozen, milk-fat free, chocolate"
full fat yoghurt (buffalo preferred),100,195.0,20.56,11.92,0.00,0.00,USDA_SR,168694,62.4,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
goat / chevon (lean cuts),100,144.0,19.35,6.77,0.00,0.00,USDA_SR,173815,52.8,"Veal, composite of trimmed retail cuts, separable lean and fat, raw"
goat or sheep dairy,100,69.0,3.56,4.14,4.45,0.00,USDA_SR,171278,103.3,"Milk, goat, fluid, with added vitamin D"
goji berries,100,349.0,14.26,0.39,77.06,13.00,USDA_SR,173032,103.8,"Goji berries, dried"
goji berry powder,100,349.0,14.26,0.39,77.06,13.00,USDA_SR,173032,103.8,"Goji berries, dried"
grapes,100,57.0,0.81,0.47,13.93,3.90,USDA_SR,173040,104.2,"Grapes, muscadine, raw"
green apple,100,89.0,19.80,0.50,0.00,0.00,USDA_SR,167745,54.2,"Turtle, green, raw"
green beans,100,37.0,1.40,0.20,7.31,3.10,USDA_SR,169085,152.3,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added"
green onion,100,27.0,0.97,0.47,5.74,1.80,USDA_SR,170006,103.3,"Onions, young green, tops only"
green tea,100,0.0,0.00,0.00,0.00,0.00,USDA_SR,171910,103.3,"Beverages, tea, green, brewed, decaffeinated"
hard aged cheeses,100,392.0,35.75,25.00,3.22,0.00,USDA_SR,170848,103.8,"Cheese, parmesan, hard"
hazelnuts,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,171427,104.2,"Oil, hazelnut"
heavy cream,100,195.0,2.96,19.10,3.66,0.00,USDA_SR,170857,152.9,"Cream, fluid, light (coffee cream or table cream)"
hemp seeds,100,553.0,31.56,48.75,8.67,4.00,USDA_SR,170148,153.6,"Seeds, hemp seed, hulled"
herbal teas,100,2.0,0.12,0.20,0.00,,USDA_SR,169828,103.3,"Tea, herbal, brewed, Hohoysi (Hopi)"
himalayan pink salt,100,149.0,9.06,0.49,27.91,5.30,USDA_SR,173795,69.8,"Beans, pink, mature seeds, cooked, boiled, with salt"
homemade buffalo milk paneer,100,97.0,3.75,6.89,5.18,0.00,USDA_SR,171280,53.6,"Milk, indian buffalo, fluid"
homemade kombucha,100,130.0,5.28,1.74,23.54,,USDA_SR,168901,53.6,"Pasta, homemade, made with egg, cooked"
homemade millet sourdough,100,262.0,9.80,1.71,55.89,6.10,USDA_SR,174916,103.6,"Bread, pita, whole-wheat"
honey,100,401.0,7.12,5.46,81.19,4.20,USDA_SR,168138,202.5,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted"
hummus,100,237.0,7.78,17.82,15.00,5.50,USDA_SR,174289,104.2,"Hummus, commercial"
hummus (fresh olive oil based),100,884.0,0.00,100.00,0.00,0.00,USDA_SR,167737,53.6,"Oil, corn, peanut, and olive"
kale,100,35.0,2.92,1.49,4.42,4.10,USDA_SR,168421,104.5,"Kale, raw"
kale powder,100,35.0,2.92,1.49,4.42,4.10,USDA_SR,168421,54.5,"Kale, raw"
kimchi,100,15.0,1.10,0.50,2.40,1.60,USDA_SR,170392,104.2,"Cabbage, kimchi"
large amounts of straight milk,100,167.0,4.30,1.00,37.70,0.00,USDA_SR,167686,53.1,"Milk dessert, frozen, milk-fat free, chocolate"
leeks,100,61.0,1.50,0.30,14.15,1.80,USDA_SR,169246,103.3,"Leeks, (bulb and lower leaf-portion), raw"
lemon and lime,100,17.0,0.47,0.07,5.66,0.70,USDA_SR,167802,102.9,"Lemon juice from concentrate, bottled, REAL LEMON"
lentils,100,352.0,24.63,1.06,63.35,10.70,USDA_SR,172420,104.5,"Lentils, raw"
low fat dairy anything,100,448.0,11.00,5.70,80.20,5.30,USDA_SR,168859,77.9,"Tortilla chips, low fat, baked without fat"
macadamia,100,718.0,7.91,75.77,13.82,8.60,USDA_SR,170178,103.8,"Nuts, macadamia nuts, raw"
mackerel,100,305.0,18.50,25.10,0.00,0.00,USDA_SR,168149,103.8,"Fish, mackerel, salted"
mangoes,100,60.0,0.82,0.38,14.98,1.60,USDA_SR,169910,54.5,"Mangos, raw"
meats in sugar-heavy marinades,100,166.0,19.81,8.97,0.15,0.00,USDA_SR,171488,53.3,"Turkey, dark meat, meat and skin, raw"
milk as a drink,100,101.0,4.22,1.69,17.30,1.30,USDA_SR,171873,102.5,"Beverages, chocolate drink, milk and soy based, ready to drink, fortified"
millet flour,100,382.0,10.75,4.25,75.12,3.50,USDA_SR,172023,104.2,Millet flour
millet flour and millet products,100,382.0,10.75,4.25,75.12,3.50,USDA_SR,172023,70.8,Millet flour
millet pancakes,100,119.0,3.51,1.00,23.67,1.30,USDA_SR,168871,54.5,"Millet, cooked"
miso,100,198.0,12.79,6.01,25.37,5.40,USDA_SR,172442,104.5,Miso
monk fruit,100,409.0,0.41,8.31,82.76,0.00,USDA_SR,168823,102.6,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Tropical fruits"
moringa leaf powder,100,0.0,0.00,0.00,100.00,0.00,USDA_SR,170679,69.6,"Sweetener, herbal extract powder from Stevia leaf"
mushrooms (all varieties),100,50.0,0.54,0.12,13.12,1.40,USDA_SR,169124,70.5,"Pineapple, raw, all varieties"
mustard,100,27.0,2.86,0.42,4.67,3.20,USDA_SR,169256,104.2,"Mustard greens, raw"
oats,100,364.0,17.03,7.97,62.94,14.30,USDA_SR,174626,202.6,"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry"
olive oil,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,167737,103.6,"Oil, corn, peanut, and olive"
olive oil vinaigrette,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,167737,70.2,"Oil, corn, peanut, and olive"
onions and garlic,100,155.0,10.91,2.37,22.54,1.20,USDA_SR,170705,102.1,"SUBWAY, sweet onion chicken teriyaki sub on white bread with lettuce, tomato and sweet onion sauce"
oranges,100,46.0,0.70,0.21,11.54,2.40,USDA_SR,169918,104.2,"Oranges, raw, Florida"
other fatty fish,100,277.0,11.01,16.23,21.66,1.50,USDA_SR,174195,70.2,"Fish, fish sticks, frozen, prepared"
oyster mushrooms,100,33.0,3.31,0.41,6.09,2.30,USDA_SR,168580,104.2,"Mushrooms, oyster, raw"
papaya,100,43.0,0.47,0.26,10.82,1.70,USDA_SR,169926,104.5,"Papayas, raw"
parsnips,100,75.0,1.20,0.30,17.99,4.90,USDA_SR,170417,104.5,"Parsnips, raw"
pasta,100,371.0,13.04,1.51,74.67,3.20,USDA_SR,168927,103.8,"Pasta, dry, unenriched"
pea-brown rice protein powder,100,64.0,3.40,0.50,11.49,2.50,USDA_SR,169865,63.6,"Babyfood, peas and brown rice"
peanuts and natural peanut butter,100,257.0,6.31,16.02,22.02,1.80,USDA_SR,174070,102.6,"Sauce, peanut, made from peanut butter, water, soy sauce"
peas in volume,100,94.0,4.97,2.77,12.69,1.10,USDA_SR,172896,102.9,"Soup, pea, green, canned, prepared with equal volume milk"
pineapple,100,253.0,0.10,0.10,66.40,0.40,USDA_SR,169665,104.2,"Toppings, pineapple"
pistachios,100,560.0,20.16,45.32,27.17,10.60,USDA_SR,170184,153.8,"Nuts, pistachio nuts, raw"
pomegranate,100,54.0,0.15,0.29,13.13,0.10,USDA_SR,167787,103.8,"Pomegranate juice, bottled"
pork (lean cuts),100,201.0,27.51,9.21,0.00,0.00,USDA_SR,167855,102.4,"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked"
potatoes,100,545.0,4.62,35.28,55.38,2.90,USDA_SR,168853,202.8,"Snack, potato chips, made from dried potatoes, plain"
processed meats with fillers or sugars,100,166.0,19.81,8.97,0.15,0.00,USDA_SR,171488,53.3,"Turkey, dark meat, meat and skin, raw"
processed meats with sodium nitrate,100,293.0,12.50,25.10,3.40,0.00,USDA_SR,172950,76.9,"Luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes SPAM, 25% less sodium"
pumpkin seeds,100,559.0,30.23,49.05,10.71,6.00,USDA_SR,170556,153.1,"Seeds, pumpkin and squash seed kernels, dried"
quinoa,100,120.0,4.40,1.92,21.30,2.80,USDA_SR,168917,104.5,"Quinoa, cooked"
raspberries,100,52.0,1.20,0.65,11.94,6.50,USDA_SR,167755,104.5,"Raspberries, raw"
refined sugar,100,531.0,3.57,28.57,66.26,14.30,USDA_SR,174970,102.9,"Cookies, sugar wafer, with creme filling, sugar free"
refined sugar and anything containing it,100,531.0,3.57,28.57,66.26,14.30,USDA_SR,174970,42.9,"Cookies, sugar wafer, with creme filling, sugar free"
regular sourdough,100,489.0,10.93,22.74,59.42,2.30,USDA_SR,174975,53.8,"Crackers, cheese, regular"
rice,100,387.0,8.20,2.80,81.50,4.20,USDA_SR,167966,203.1,"Snacks, rice cracker brown rice, plain"
salmon,100,902.0,0.00,100.00,0.00,0.00,USDA_SR,172343,103.8,"Fish oil, salmon"
sardines,100,902.0,0.00,100.00,0.00,0.00,USDA_SR,173578,103.8,"Fish oil, sardine"
seed oils in cooking,100,592.0,20.06,51.30,22.89,10.60,USDA_SR,168593,102.8,"Seeds, sunflower seed kernels, oil roasted, with salt added"
sesame oil,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,171016,103.6,"Oil, sesame, salad or cooking"
sesame seeds,100,573.0,17.73,49.67,23.45,11.80,USDA_SR,170150,153.3,"Seeds, sesame seeds, whole, dried"
sesame seeds and tahini,100,607.0,17.95,56.44,17.89,9.30,USDA_SR,169406,135.6,"Seeds, sesame butter, tahini, from unroasted kernels (non-chemically removed seed coat)"
shiitake mushrooms,100,34.0,2.24,0.49,6.79,2.50,USDA_SR,169242,104.2,"Mushrooms, shiitake, raw"
spinach,100,23.0,2.86,0.39,3.63,2.20,USDA_SR,168462,104.5,"Spinach, raw"
stevia,100,0.0,0.00,0.00,100.00,0.00,USDA_SR,170679,102.9,"Sweetener, herbal extract powder from Stevia leaf"
strawberries,100,32.0,0.67,0.30,7.68,2.00,USDA_SR,167762,104.5,"Strawberries, raw"
sunflower oil,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,171025,103.3,"Oil, sunflower, linoleic, (approx. 65%)"
sunflower seeds,100,584.0,20.78,51.46,20.00,8.60,USDA_SR,170562,153.3,"Seeds, sunflower seed kernels, dried"
sweet potatoes,100,42.0,2.49,0.51,8.82,5.30,USDA_SR,169303,103.8,"Sweet potato leaves, raw"
sweetened drinks,100,27.0,0.00,0.22,6.20,0.00,USDA_SR,174128,102.9,"Beverages, tea, green, ready-to-drink, sweetened"
tahini,100,592.0,17.40,53.01,21.50,4.70,USDA_SR,168604,102.9,"Seeds, sesame butter, tahini, type of kernels unspecified"
tempeh,100,195.0,19.91,11.38,7.62,,USDA_SR,172467,104.5,"Tempeh, cooked"
tofu and tofu skins,100,132.0,4.39,0.10,29.63,5.50,USDA_SR,170115,103.3,"Potatoes, microwaved, cooked, in skin, skin with salt"
tomatoes,100,32.0,1.32,0.39,7.09,1.40,USDA_SR,170463,203.3,"Tomato products, canned, sauce, with tomato tidbits"
turmeric,100,312.0,9.68,3.25,67.14,22.70,USDA_SR,172231,103.8,"Spices, turmeric, ground"
turmeric powder,100,250.0,3.69,0.47,79.65,44.50,USDA_SR,167806,54.2,Baobab powder
turmeric with black pepper,100,251.0,10.39,3.26,63.95,25.30,USDA_SR,170931,70.5,"Spices, pepper, black"
vegetable oil,100,339.0,0.51,37.77,0.66,0.00,USDA_SR,171434,152.2,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D"
walnuts,100,884.0,0.00,100.00,0.00,0.00,USDA_SR,171030,104.2,"Oil, walnut"
water,100,68.0,2.37,1.36,11.67,1.70,USDA_SR,171662,202.4,"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)"
watermelon,100,30.0,0.61,0.15,7.55,0.40,USDA_SR,167765,104.5,"Watermelon, raw"
wheat and all gluten-containing grains,100,332.0,9.61,1.95,74.48,13.10,USDA_SR,168944,63.1,"Wheat flour, whole-grain, soft wheat"
wheat bread,100,274.0,10.67,4.53,47.54,4.00,USDA_SR,172686,104.2,"Bread, wheat"
whey protein,100,359.0,58.14,1.16,29.07,0.00,USDA_SR,173177,103.3,"Beverages, Whey protein powder isolate"
white fish,100,92.0,16.76,2.32,0.00,0.00,USDA_SR,175150,103.8,"Fish, sucker, white, raw"
white potatoes,100,69.0,1.68,0.10,15.71,2.40,USDA_SR,170028,103.6,"Potatoes, white, flesh and skin, raw"
yak cheese,100,295.0,7.10,28.60,3.50,0.00,USDA_SR,169081,103.3,"Cheese spread, cream cheese base"
zucchini,100,21.0,2.71,0.40,3.11,1.10,USDA_SR,168565,103.8,"Squash, zucchini, baby, raw"
doenjang,100,198.0,12.0,8.0,20.0,4.0,manual,,,"Korean fermented soybean paste"
gochujang,100,230.0,6.0,2.0,45.0,5.0,manual,,,"Korean fermented chili paste"
gochugaru/korean chilli flakes,100,282.0,10.0,10.0,55.0,30.0,manual,,,"Korean chili flakes (dried); tiny serving sizes"
japchae glass noodles,100,340.0,0.2,0.2,85.0,3.0,manual,,,"Korean sweet-potato starch noodles (dangmyeon)"
